system:index,.geo
79,"{""type"":""Point"",""coordinates"":[73.53329651157013,32.11468449592418]}"
80,"{""type"":""Point"",""coordinates"":[73.53400461475006,32.11473447534945]}"
81,"{""type"":""Point"",""coordinates"":[73.57093814767522,32.12442722258218]}"
82,"{""type"":""Point"",""coordinates"":[73.57020858682317,32.12445448118031]}"
83,"{""type"":""Point"",""coordinates"":[73.57014421380681,32.125626593196294]}"
84,"{""type"":""Point"",""coordinates"":[73.5708094016425,32.12569019574323]}"
85,"{""type"":""Point"",""coordinates"":[73.56951657689733,32.1244590242792]}"
86,"{""type"":""Point"",""coordinates"":[73.56878701604528,32.124404507077536]}"
87,"{""type"":""Point"",""coordinates"":[73.56595411418007,32.12445695985721]}"
88,"{""type"":""Point"",""coordinates"":[73.56660857317969,32.124520563219434]}"
89,"{""type"":""Point"",""coordinates"":[73.56737032053992,32.124534192505564]}"
90,"{""type"":""Point"",""coordinates"":[73.56728985426948,32.12518385278351]}"
91,"{""type"":""Point"",""coordinates"":[73.5665924799256,32.12512479294935]}"
92,"{""type"":""Point"",""coordinates"":[73.5030236924833,32.12313040417456]}"
93,"{""type"":""Point"",""coordinates"":[73.50374252449929,32.123284871651386]}"
94,"{""type"":""Point"",""coordinates"":[73.50447744976938,32.12346205461167]}"
95,"{""type"":""Point"",""coordinates"":[73.50516409527718,32.12361197838628]}"
96,"{""type"":""Point"",""coordinates"":[73.50582928311287,32.12376190191455]}"
97,"{""type"":""Point"",""coordinates"":[73.50660712372719,32.123930160659945]}"
98,"{""type"":""Point"",""coordinates"":[73.50765089344983,32.124126937961904]}"
99,"{""type"":""Point"",""coordinates"":[73.5119780611773,32.12780507392666]}"
100,"{""type"":""Point"",""coordinates"":[73.51264861343103,32.1279186471606]}"
101,"{""type"":""Point"",""coordinates"":[73.51332453010278,32.128086735287326]}"
102,"{""type"":""Point"",""coordinates"":[73.51171775752954,32.128616578837175]}"
103,"{""type"":""Point"",""coordinates"":[73.51154609615259,32.12927983862582]}"
104,"{""type"":""Point"",""coordinates"":[73.51218982631616,32.1294115814345]}"
105,"{""type"":""Point"",""coordinates"":[73.51287110740594,32.1294978955853]}"
106,"{""type"":""Point"",""coordinates"":[73.51235612327508,32.12870289374013]}"
107,"{""type"":""Point"",""coordinates"":[73.51306959087304,32.12883918026273]}"
